,Player,PA,Yds Allow,TO,FL,Def Int,Pen,EXP,Year,Tm,Pos,PR TD,KR TD,FblTD,IntTD,Sfty,Short FGA,Short FGM,Reg FGA,Reg FGM,Med FGA,Med FGM,Long FGA,Long FGM,Deep FGA,Deep FGM,XPA,XPM
0,Seattle Seahawks,245.0,4899.0,31.0,13.0,18.0,102.0,133.75,2012,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,San Francisco 49ers,273.0,4710.0,25.0,11.0,14.0,93.0,114.89,2012,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chicago Bears,277.0,5050.0,44.0,20.0,24.0,78.0,206.62,2012,CHI,D/ST,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Denver Broncos,289.0,4652.0,24.0,8.0,16.0,123.0,140.44,2012,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Atlanta Falcons,299.0,5849.0,31.0,11.0,20.0,83.0,40.76,2012,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Pittsburgh Steelers,314.0,4413.0,20.0,10.0,10.0,100.0,62.83,2012,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Miami Dolphins,317.0,5708.0,16.0,6.0,10.0,121.0,134.88,2012,MIA,D/ST,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Cincinnati Bengals,320.0,5115.0,30.0,16.0,14.0,90.0,192.22,2012,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Houston Texans,331.0,5172.0,29.0,14.0,15.0,90.0,124.55,2012,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,New England Patriots,331.0,5972.0,41.0,21.0,20.0,101.0,83.26,2012,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Green Bay Packers,336.0,5388.0,23.0,5.0,18.0,123.0,81.27,2012,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Baltimore Ravens,344.0,5615.0,25.0,12.0,13.0,107.0,132.17,2012,BAL,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,New York Giants,344.0,6134.0,35.0,14.0,21.0,102.0,64.81,2012,NYG,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Minnesota Vikings,348.0,5600.0,22.0,12.0,10.0,111.0,56.23,2012,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Los Angeles Rams,348.0,5482.0,21.0,4.0,17.0,90.0,85.63,2012,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Los Angeles Chargers,350.0,5223.0,28.0,14.0,14.0,102.0,106.5,2012,LAC,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Arizona Cardinals,357.0,5405.0,33.0,11.0,22.0,100.0,169.34,2012,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Carolina Panthers,363.0,5329.0,23.0,12.0,11.0,86.0,40.88,2012,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Cleveland Browns,368.0,5821.0,29.0,12.0,17.0,120.0,83.87,2012,CLE,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,New York Jets,375.0,5174.0,23.0,12.0,11.0,109.0,84.02,2012,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Indianapolis Colts,387.0,5988.0,15.0,3.0,12.0,128.0,-40.83,2012,IND,D/ST,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Washington Commanders,388.0,6043.0,31.0,10.0,21.0,100.0,67.07,2012,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Tampa Bay Buccaneers,394.0,6078.0,26.0,8.0,18.0,103.0,18.91,2012,TAM,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Dallas Cowboys,400.0,5687.0,16.0,9.0,7.0,89.0,41.54,2012,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Kansas City Chiefs,425.0,5704.0,13.0,6.0,7.0,81.0,-16.83,2012,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Buffalo Bills,435.0,5806.0,21.0,9.0,12.0,80.0,-27.22,2012,BUF,D/ST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Detroit Lions,437.0,5458.0,17.0,6.0,11.0,93.0,34.54,2012,DET,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Las Vegas Raiders,443.0,5672.0,19.0,8.0,11.0,101.0,6.5,2012,LVR,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Philadelphia Eagles,444.0,5491.0,13.0,5.0,8.0,118.0,6.57,2012,PHI,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Jacksonville Jaguars,444.0,6088.0,23.0,11.0,12.0,101.0,-18.48,2012,JAX,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,New Orleans Saints,454.0,7042.0,26.0,11.0,15.0,102.0,-24.2,2012,NOR,D/ST,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Tennessee Titans,471.0,5999.0,24.0,5.0,19.0,86.0,22.2,2012,TEN,D/ST,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Seattle Seahawks,231.0,4378.0,39.0,11.0,28.0,98.0,129.49,2013,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Carolina Panthers,241.0,4820.0,30.0,10.0,20.0,84.0,61.39,2013,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,San Francisco 49ers,272.0,5071.0,30.0,12.0,18.0,96.0,67.25,2013,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,New Orleans Saints,304.0,4891.0,19.0,7.0,12.0,91.0,-15.21,2013,NOR,D/ST,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Cincinnati Bengals,305.0,4888.0,31.0,11.0,20.0,69.0,92.97,2013,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Kansas City Chiefs,305.0,5885.0,36.0,15.0,21.0,112.0,26.34,2013,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Arizona Cardinals,324.0,5079.0,30.0,10.0,20.0,111.0,64.88,2013,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Miami Dolphins,335.0,5750.0,24.0,6.0,18.0,95.0,-21.18,2013,MIA,D/ST,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Indianapolis Colts,336.0,5713.0,27.0,12.0,15.0,112.0,-82.63,2013,IND,D/ST,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,New England Patriots,338.0,5969.0,29.0,12.0,17.0,110.0,-42.78,2013,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Los Angeles Chargers,348.0,5864.0,17.0,6.0,11.0,100.0,-120.17,2013,LAC,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Baltimore Ravens,352.0,5368.0,24.0,8.0,16.0,126.0,21.7,2013,BAL,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Los Angeles Rams,364.0,5520.0,29.0,15.0,14.0,105.0,-32.49,2013,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Pittsburgh Steelers,370.0,5395.0,20.0,10.0,10.0,92.0,11.02,2013,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Detroit Lions,376.0,5546.0,22.0,7.0,15.0,87.0,-25.01,2013,DET,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Tennessee Titans,381.0,5407.0,25.0,12.0,13.0,95.0,-25.65,2013,TEN,D/ST,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Philadelphia Eagles,382.0,6304.0,31.0,12.0,19.0,106.0,-35.53,2013,PHI,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,New York Giants,383.0,5316.0,29.0,12.0,17.0,105.0,59.98,2013,NYG,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,New York Jets,387.0,5359.0,15.0,2.0,13.0,92.0,-15.17,2013,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Buffalo Bills,388.0,5334.0,30.0,7.0,23.0,108.0,43.14,2013,BUF,D/ST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Tampa Bay Buccaneers,389.0,5568.0,31.0,10.0,21.0,105.0,-39.75,2013,TAM,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Denver Broncos,399.0,5696.0,26.0,9.0,17.0,97.0,-54.32,2013,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Cleveland Browns,406.0,5319.0,21.0,7.0,14.0,95.0,-15.2,2013,CLE,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Houston Texans,428.0,5081.0,11.0,4.0,7.0,102.0,-57.34,2013,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Green Bay Packers,428.0,5956.0,22.0,11.0,11.0,99.0,-116.87,2013,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Dallas Cowboys,432.0,6645.0,28.0,13.0,15.0,112.0,-96.77,2013,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Atlanta Falcons,443.0,6070.0,21.0,11.0,10.0,104.0,-125.65,2013,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Jacksonville Jaguars,449.0,6070.0,21.0,10.0,11.0,87.0,-85.34,2013,JAX,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Las Vegas Raiders,453.0,5819.0,22.0,13.0,9.0,87.0,-104.98,2013,LVR,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Washington Commanders,478.0,5665.0,26.0,10.0,16.0,83.0,-57.77,2013,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Chicago Bears,478.0,6313.0,28.0,9.0,19.0,69.0,-118.14,2013,CHI,D/ST,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Minnesota Vikings,480.0,6362.0,20.0,8.0,12.0,100.0,-122.7,2013,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Seattle Seahawks,254.0,4274.0,24.0,11.0,13.0,70.0,40.92,2014,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Kansas City Chiefs,281.0,5288.0,14.0,8.0,6.0,107.0,-16.38,2014,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Detroit Lions,282.0,4815.0,27.0,7.0,20.0,99.0,53.86,2014,DET,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Buffalo Bills,289.0,4995.0,30.0,11.0,19.0,104.0,43.28,2014,BUF,D/ST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Arizona Cardinals,299.0,5891.0,25.0,7.0,18.0,130.0,-9.75,2014,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Baltimore Ravens,302.0,5391.0,22.0,11.0,11.0,110.0,-18.91,2014,BAL,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Houston Texans,307.0,5571.0,34.0,14.0,20.0,99.0,75.87,2014,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,New England Patriots,313.0,5506.0,25.0,9.0,16.0,92.0,-51.58,2014,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Cleveland Browns,337.0,5857.0,29.0,8.0,21.0,98.0,-11.69,2014,CLE,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,San Francisco 49ers,340.0,5143.0,29.0,6.0,23.0,122.0,-11.11,2014,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Minnesota Vikings,343.0,5515.0,19.0,6.0,13.0,112.0,-39.67,2014,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Cincinnati Bengals,344.0,5749.0,26.0,6.0,20.0,105.0,-39.01,2014,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Los Angeles Chargers,348.0,5413.0,18.0,11.0,7.0,129.0,-52.29,2014,LAC,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Green Bay Packers,348.0,5542.0,27.0,9.0,18.0,104.0,-33.95,2014,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Dallas Cowboys,352.0,5681.0,31.0,13.0,18.0,104.0,-69.98,2014,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Denver Broncos,354.0,4883.0,25.0,7.0,18.0,103.0,5.24,2014,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Los Angeles Rams,354.0,5626.0,25.0,12.0,13.0,105.0,3.47,2014,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Pittsburgh Steelers,368.0,5654.0,21.0,10.0,11.0,97.0,-73.84,2014,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Indianapolis Colts,369.0,5483.0,26.0,14.0,12.0,101.0,-12.0,2014,IND,D/ST,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Miami Dolphins,373.0,5494.0,25.0,11.0,14.0,105.0,-28.48,2014,MIA,D/ST,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Carolina Panthers,374.0,5437.0,26.0,12.0,14.0,97.0,-38.36,2014,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Philadelphia Eagles,400.0,6009.0,28.0,16.0,12.0,121.0,-31.44,2014,PHI,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,New York Giants,400.0,6012.0,26.0,9.0,17.0,105.0,-58.87,2014,NYG,D/ST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,New York Jets,401.0,5235.0,13.0,7.0,6.0,91.0,-70.4,2014,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Tampa Bay Buccaneers,410.0,5903.0,25.0,11.0,14.0,106.0,-84.36,2014,TAM,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Jacksonville Jaguars,412.0,5932.0,20.0,14.0,6.0,115.0,-46.95,2014,JAX,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Atlanta Falcons,417.0,6372.0,28.0,12.0,16.0,91.0,-128.96,2014,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,New Orleans Saints,424.0,6144.0,17.0,5.0,12.0,105.0,-128.38,2014,NOR,D/ST,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Washington Commanders,438.0,5712.0,19.0,12.0,7.0,144.0,-121.72,2014,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Tennessee Titans,438.0,5968.0,16.0,4.0,12.0,93.0,-111.18,2014,TEN,D/ST,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Chicago Bears,442.0,6033.0,24.0,10.0,14.0,106.0,-102.23,2014,CHI,D/ST,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Las Vegas Raiders,452.0,5721.0,14.0,5.0,9.0,116.0,-57.69,2014,LVR,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Seattle Seahawks,277.0,4668.0,23.0,9.0,14.0,94.0,59.08,2015,SEA,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Cincinnati Bengals,279.0,5453.0,28.0,7.0,21.0,116.0,40.96,2015,CIN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Kansas City Chiefs,287.0,5269.0,29.0,7.0,22.0,110.0,105.76,2015,KAN,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Denver Broncos,296.0,4530.0,27.0,13.0,14.0,104.0,141.46,2015,DEN,D/ST,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Minnesota Vikings,302.0,5510.0,22.0,9.0,13.0,109.0,11.53,2015,MIN,D/ST,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Carolina Panthers,308.0,5167.0,39.0,15.0,24.0,99.0,117.7,2015,CAR,D/ST,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Arizona Cardinals,313.0,5147.0,33.0,14.0,19.0,130.0,34.93,2015,ARI,D/ST,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Houston Texans,313.0,4963.0,25.0,11.0,14.0,116.0,46.6,2015,HOU,D/ST,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,New York Jets,314.0,5098.0,30.0,12.0,18.0,90.0,59.35,2015,NYJ,D/ST,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,New England Patriots,315.0,5430.0,21.0,9.0,12.0,112.0,27.26,2015,NWE,D/ST,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Pittsburgh Steelers,319.0,5809.0,30.0,13.0,17.0,121.0,37.09,2015,PIT,D/ST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Green Bay Packers,323.0,5547.0,22.0,6.0,16.0,120.0,-9.81,2015,GNB,D/ST,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Los Angeles Rams,330.0,5885.0,26.0,13.0,13.0,109.0,35.44,2015,LAR,D/ST,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Atlanta Falcons,345.0,5562.0,23.0,8.0,15.0,95.0,-27.98,2015,ATL,D/ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Buffalo Bills,359.0,5702.0,25.0,8.0,17.0,113.0,-32.74,2015,BUF,D/ST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Dallas Cowboys,374.0,5567.0,11.0,3.0,8.0,113.0,-52.8,2015,DAL,D/ST,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Washington Commanders,379.0,6090.0,27.0,16.0,11.0,112.0,-55.35,2015,WAS,D/ST,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,San Francisco 49ers,387.0,6199.0,12.0,3.0,9.0,112.0,-84.98,2015,SFO,D/ST,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
